A,B,Divorced,Years
Drew_Barrymore , Tom_Green ,1,0
Lisa_Marie_Presley , Nicolas_Cage,1,0
Jason_Alexander , Britney_Spears ,1,0
Eminem , Kim_Mathers ,1,0
Kid_Rock , Pamela_Anderson ,1,0
Anna_Kournikova , Sergei_Fedorov ,1,1
Bradley_Cooper , Jennifer_Esposito ,1,1
Cris_Judd , Jennifer_Lopez ,1,2
Jodie_Kidd , Aidan_Butler ,1,2
Katy_Perry , Russell_Brand ,1,2
Keeley_Hawes , Spencer_McCallum ,1,3
Britney_Spears , Kevin_Federline ,1,3
Charlie_Sheen , Brooke_Mueller ,1,3
Gemma_Arterton , Stefano_Catelli ,1,3
Charlie_Sheen , Denise_Richards ,1,4
Emilia_Fox , Jared_Harris ,1,4
Katie_Price , Peter_Andre ,1,4
Cheryl_Cole , Ashley_Cole ,1,4
Arun_Nayar , Elizabeth_Hurley ,1,4
Denise_van_Outen , Lee_Mead ,1,4
Cat_Deeley , Mark_Whelan ,1,5
David_Walliams , Lara_Stone ,1,5
Chris_Evans , Billie_Piper ,1,6
Heather_Mills , Paul_McCartney ,1,6
Tiger_Woods , Elin_Nordegren ,1,6
Katie_Holmes , Tom_Cruise ,1,6
Mariah_Carey , Nick_Cannon ,1,6
Khloe_Kardashian , Lamar_Odom ,1,6
Ross_Kemp , Rebekah_Wade ,1,7
Kate_Winslet , Sam_Mendes ,1,7
Ashton_Kutcher , Demi_Moore ,1,7
Jennifer_Lopez , Marc_Anthony ,1,8
Danielle_Spencer , Russell_Crowe  ,1,9
Ben_Affleck , Jennifer_Garner ,1,10
Carey_Lowell , Richard_Gere ,1,11
Chris_Martin , Gwyneth_Paltrow ,1,11
Nigella_Lawson , Charles_Saatchi ,1,11
Gabby_Logan , Kenny_Logan ,0,14
J._K._Rowling , Neil_Murray ,0,14
Keely_Shaye_Smith , Pierce_Brosnan ,0,14
Kate_Garraway , Ian_Rumsey ,0,13
The_Edge , Morleigh_Steinberg ,0,13
Emma_Thompson , Greg_Wise ,0,12
Michael_McIntyre , Kitty_Ward ,0,12
Stella_McCartney , Alasdhair_Willis ,0,12
Kate_Beckinsale , Len_Wiseman ,0,11
Matthew_MacFadyen , Keeley_Hawes ,0,11
Camilla_Parker_Bowles , Prince_Charles ,0,10
Donald_Trump , Melania_Knauss ,0,10
Michael_Owen , Louise_Bonsall ,0,10
Robert_Downey_Jr. , Susan_Levin ,0,10
Ant_McPartlin , Lisa_Armstrong ,0,9
Jack_Black , Tanya_Haden ,0,9
Keith_Urban , Nicole_Kidman ,0,9
Damian_Lewis , Helen_McCrory ,0,8
Holly_Willoughby , Dan_Baldwin ,0,8
Rod_Stewart , Penny_Lancaster ,0,8
Rupert_Penry-Jones , Dervla_Kirwan ,0,8
Steven_Gerrard , Alex_Curran ,0,8
Beyonce_Knowles , Jay Z ,0,7
Eddie_Murphy , Tracey Edmonds ,0,7
Nelly_Furtado , Demo_Castellon ,0,7
Ulrika_Jonsson , Brian_Monet ,0,7
Wayne_Rooney , Colleen_McCoughlin ,0,7
Bruce_Willis , Emma_Heming  ,0,6
Gisele_Bundchen , Tom_Brady  ,0,6
Maggie_Gyllenhaal , Peter_Sarsgaard,0,6
Roger_Federer , Miroslava_Vavrinec ,0,6
Dominic_West , Catherine_Fitzgerald ,0,5
Eamonn_Holmes , Ruth_Langsford ,0,5
Penélope_Cruz , Javier_Bardem ,0,5
Sophie_Dahl , Jamie_Cullum ,0,5
